name,cn,attach
Cinema 1,http://iptv.atlasiptv.net:88/live///3941.ts,Egypte
Cinema Pro,http://iptv.ndasat.com:88/live///1449.ts,Egypte
D movies,http://iptv.atlasiptv.net:88/live///3946.ts,Egypte
Dmc,http://iptv.ndasat.com:88/live///2398.ts,Egypte
DMC Sports,http://iptv.ndasat.com:88/live///2408.ts,Egypte
Dmc-Drama,http://iptv.ndasat.com:88/live///2395.ts,Egypte
Dream TV,http://iptv.ndasat.com:88/live///625.ts,Egypte
El Beit Beitak,http://iptv.ndasat.com:88/live///1516.ts,Egypte
EL Sharq ,http://iptv.ndasat.com:88/live///986.ts,Egypte
Family Drama,http://iptv.ndasat.com:88/live///1583.ts,Egypte
Hbisha Cinema,http://iptv.atlasiptv.net:88/live///3951.ts,Egypte
LTC,http://iptv.ndasat.com:88/live///421.ts,Egypte
Maspero Zaman,http://iptv.atlasiptv.net:88/live///3939.ts,Egypte
Mekameleen,http://iptv.ndasat.com:88/live///1491.ts,Egypte
Mekameleen 2,http://iptv.atlasiptv.net:88/live///3942.ts,Egypte
Melody Cinema,http://iptv.atlasiptv.net:88/live///3963.ts,Egypte
Melody Classic,http://iptv.ndasat.com:88/live///616.ts,Egypte
Misr EL Balad,http://iptv.ndasat.com:88/live///420.ts,Egypte
Nile Cinema,http://iptv.ndasat.com:88/live///414.ts,Egypte
Nile Comedy,http://iptv.ndasat.com:88/live///415.ts,Egypte
Nile Drama,http://iptv.ndasat.com:88/live///416.ts,Egypte
Nile Life,http://iptv.ndasat.com:88/live///418.ts,Egypte
Nile Sport,http://iptv.ndasat.com:88/live///130.ts,Egypte
Nile TV,http://iptv.ndasat.com:88/live///413.ts,Egypte
ON Drama,http://iptv.ndasat.com:88/live///1493.ts,Egypte
ON E,http://iptv.ndasat.com:88/live///857.ts,Egypte
ON Sports,http://iptv.ndasat.com:88/live///2589.ts,Egypte
ON-Live,http://iptv.ndasat.com:88/live///548.ts,Egypte
Panorama Drama,http://iptv.ndasat.com:88/live///621.ts,Egypte
Panorama Drama 2,http://iptv.ndasat.com:88/live///876.ts,Egypte
Panorama Film,http://iptv.ndasat.com:88/live///1447.ts,Egypte
Panorama Food,http://iptv.ndasat.com:88/live///3390.ts,Egypte
Sada El Balad,http://iptv.ndasat.com:88/live///618.ts,Egypte
Sada El Balad Drama,http://iptv.ndasat.com:88/live///1586.ts,Egypte
Scare TV,http://iptv.atlasiptv.net:88/live///3947.ts,Egypte
Sehaty,http://iptv.atlasiptv.net:88/live///3938.ts,Egypte
TEN,http://iptv.ndasat.com:88/live///866.ts,Egypte
Toktok Aflam,http://iptv.ndasat.com:88/live///1450.ts,Egypte
Watan,http://iptv.ndasat.com:88/live///865.ts,Egypte
AbuDhabi,http://iptv.ndasat.com:88/live///613.ts,Arabic
AbuDhabiDrama,http://iptv.ndasat.com:88/live///818.ts,Arabic
AbuDhabiEmarat,http://iptv.ndasat.com:88/live///819.ts,Arabic
Ajman ,http://iptv.ndasat.com:88/live///1425.ts,Arabic
Al Assema,http://iptv.ndasat.com:88/live///622.ts,Arabic
Al Assema 2,http://iptv.ndasat.com:88/live///623.ts,Arabic
AL Hadath el youm,http://iptv.ndasat.com:88/live///237.ts,Arabic
Al-Fujaira,http://iptv.ndasat.com:88/live///1492.ts,Arabic
Alaan,http://iptv.ndasat.com:88/live///869.ts,Arabic
AlAraby,http://iptv.ndasat.com:88/live///442.ts,Arabic
ALHayat,http://iptv.ndasat.com:88/live///626.ts,Arabic
Alhayat Musalsalat,http://iptv.ndasat.com:88/live///1448.ts,Arabic
Alhayat2,http://iptv.ndasat.com:88/live///1501.ts,Arabic
AlHiwar,http://iptv.ndasat.com:88/live///859.ts,Arabic
AljazeeraDoc,http://iptv.ndasat.com:88/live///851.ts,Arabic
AlKaheraWalNas,http://iptv.ndasat.com:88/live///829.ts,Arabic
AlKaheraWalNass+2,http://iptv.ndasat.com:88/live///1585.ts,Arabic
AlMasriyah,http://iptv.ndasat.com:88/live///832.ts,Arabic
AlMehwar,http://iptv.ndasat.com:88/live///833.ts,Arabic
Alnahar,http://iptv.ndasat.com:88/live///620.ts,Arabic
AlNaharDrama,http://iptv.ndasat.com:88/live///619.ts,Arabic
AlThaniya,http://iptv.ndasat.com:88/live///840.ts,Arabic
Art Aflam 1,http://iptv.ndasat.com:88/live///234.ts,Arabic
Art Aflam 2,http://iptv.ndasat.com:88/live///235.ts,Arabic
Art Cinema,http://iptv.ndasat.com:88/live///236.ts,Arabic
ArtHekayat,http://iptv.ndasat.com:88/live///641.ts,Arabic
ArtHekayat2,http://iptv.ndasat.com:88/live///640.ts,Arabic
B4U Aflam,http://iptv.ndasat.com:88/live///232.ts,Arabic
Bahrain,http://iptv.ndasat.com:88/live///633.ts,Arabic
CBC,http://iptv.ndasat.com:88/live///409.ts,Arabic
CBC Drama,http://iptv.ndasat.com:88/live///411.ts,Arabic
